"ABV","IBU","Name","Style","Brewery","City","State","Category"
"60",5.4,30,"British Pale Ale","English Pale Ale","7 Seas Brewing Company","Gig Harbor"," WA","Ale"
"61",8.4,82,"Ballz Deep Double IPA","American Double / Imperial IPA","7 Seas Brewing Company","Gig Harbor"," WA","Ale"
"62",3.8,70,"Wolfman's Berliner","Berliner Weissbier","7venth Sun","Dunedin"," FL","Traditional Germanic"
"63",5.5,26,"Colorado Native","American Amber / Red Lager","AC Golden Brewing Company","Golden"," CO","Lager"
"64",5.5,26,"Colorado Native (2011)","American Amber / Red Lager","AC Golden Brewing Company","Golden"," CO","Lager"
"65",6.5,52,"Jockamo IPA","American IPA","Abita Brewing Company","Abita Springs"," LA","Ale"
"66",4.2,13,"Purple Haze","Fruit / Vegetable Beer","Abita Brewing Company","Abita Springs"," LA","Other"
"67",4.5,17,"Abita Amber","American Amber / Red Lager","Abita Brewing Company","Abita Springs"," LA","Lager"
"68",8.2,68,"Citra Ass Down","American IPA","Against The Grain Brewery","Louisville"," KY","Ale"
"69",5,20,"The Brown Note","American Brown Ale","Against The Grain Brewery","Louisville"," KY","Ale"
"70",8,68,"Citra Ass Down","American Double / Imperial IPA","Against the Grain Brewery","Louisville"," KY","Ale"
"71",12.5,80,"London Balling","English Barleywine","Against the Grain Brewery","Louisville"," KY","Ale"
"72",7.7,25,"35 K","Milk / Sweet Stout","Against the Grain Brewery","Louisville"," KY","Ale"
"73",4.2,42,"A Beer","American Pale Ale (APA)","Against the Grain Brewery","Louisville"," KY","Ale"
"74",5,25,"Rules are Rules","German Pilsener","Against the Grain Brewery","Louisville"," KY","Lager"
"75",6.6,21,"Flesh Gourd'n","Pumpkin Ale","Against the Grain Brewery","Louisville"," KY","Ale"
"76",4,13,"Sho'nuff","Belgian Pale Ale","Against the Grain Brewery","Louisville"," KY","Traditional Germanic"
"77",5.5,17,"Bloody Show","American Pilsner","Against the Grain Brewery","Louisville"," KY","Lager"
"78",7.6,68,"Rico Sauvin","American Double / Imperial IPA","Against the Grain Brewery","Louisville"," KY","Ale"
"79",5.1,38,"Coq de la Marche","Saison / Farmhouse Ale","Against the Grain Brewery","Louisville"," KY","Other"
"80",6.5,30,"Kamen Knuddeln","American Wild Ale","Against the Grain Brewery","Louisville"," KY","Ale"
"81",6,65,"Pile of Face","American IPA","Against the Grain Brewery","Louisville"," KY","Ale"
"82",5,20,"The Brown Note","English Brown Ale","Against the Grain Brewery","Louisville"," KY","Ale"
"83",5.3,35,"Maylani's Coconut Stout","American Stout","Airways Brewing Company","Kent"," WA","Ale"
"84",5,35,"Oatmeal PSA","American Pale Ale (APA)","Airways Brewing Company","Kent"," WA","Ale"
"85",5.2,33,"Pre Flight Pilsner","American Pilsner","Airways Brewing Company","Kent"," WA","Lager"
"86",4,20,"P-Town Pilsner","American Pilsner","Alameda Brewing","Portland"," OR","Lager"
"87",5.3,36,"Klickitat Pale Ale","American Pale Ale (APA)","Alameda Brewing","Portland"," OR","Ale"
"88",8.2,103,"Yellow Wolf Imperial IPA","American Double / Imperial IPA","Alameda Brewing","Portland"," OR","Ale"
"89",5.3,40,"Freeride APA","American Pale Ale (APA)","Alaskan Brewing Company","Juneau"," AK","Ale"
"90",5.3,18,"Alaskan Amber","Altbier","Alaskan Brewing Company","Juneau"," AK","Traditional Germanic"
"91",5.7,38,"Hopalicious","American Pale Ale (APA)","Ale Asylum","Madison"," WI","Ale"
"92",4.3,12,"Kentucky Kölsch","Kölsch","Alltech's Lexington Brewing Company","Lexington"," KY","Traditional Germanic"
"93",6.5,59,"Kentucky IPA","American IPA","Alltech's Lexington Brewing Company","Lexington"," KY","Ale"
"94",5.4,21,"Dusty Trail Pale Ale","American Pale Ale (APA)","Amnesia Brewing Company","Washougal"," WA","Ale"
"95",6.2,42,"Damnesia","American IPA","Amnesia Brewing Company","Washougal"," WA","Ale"
"96",6.2,43,"Desolation IPA","American IPA","Amnesia Brewing Company","Washougal"," WA","Ale"
"97",5.9,55,"Liberty Ale","American IPA","Anchor Brewing Company","San Francisco"," CA","Ale"
"98",6.5,59,"IPA","American IPA","Anchor Brewing Company","San Francisco"," CA","Ale"
"99",4.5,8,"Summer Wheat","American Pale Wheat Ale","Anchor Brewing Company","San Francisco"," CA","Ale"
"100",4.9,21,"California Lager","American Amber / Red Lager","Anchor Brewing Company","San Francisco"," CA","Lager"
"101",5.6,26,"Brotherhood Steam","California Common / Steam Beer","Anchor Brewing Company","San Francisco"," CA","Ale"
"102",4.2,11,"Blood Orange Gose","Gose","Anderson Valley Brewing Company","Boonville"," CA","Traditional Germanic"
"103",4.2,21,"Keebarlin' Pale Ale","American Pale Ale (APA)","Anderson Valley Brewing Company","Boonville"," CA","Ale"
"104",4.8,NA,"the Kimmie, the Yink and the Holy Gose","Gose","Anderson Valley Brewing Company","Boonville"," CA","Traditional Germanic"
"105",6,10,"Fall Hornin'","Pumpkin Ale","Anderson Valley Brewing Company","Boonville"," CA","Ale"
"106",5.7,13,"Barney Flats Oatmeal Stout","Oatmeal Stout","Anderson Valley Brewing Company","Boonville"," CA","Ale"
"107",5.6,4,"Summer Solstice","Cream Ale","Anderson Valley Brewing Company","Boonville"," CA","Ale"
"108",7,80,"Hop Ottin' IPA","American IPA","Anderson Valley Brewing Company","Boonville"," CA","Ale"
"109",5.8,15,"Boont Amber Ale","American Amber / Red Ale","Anderson Valley Brewing Company","Boonville"," CA","Ale"
"110",5.7,13,"Barney Flats Oatmeal Stout","Oatmeal Stout","Anderson Valley Brewing Company","Boonville"," CA","Ale"
"111",5.5,25,"El Steinber Dark Lager","Vienna Lager","Anderson Valley Brewing Company","Boonville"," CA","Lager"
"112",5.8,15,"Boont Amber Ale (2010)","American Amber / Red Ale","Anderson Valley Brewing Company","Boonville"," CA","Ale"
"113",5.6,4,"Summer Solstice Cerveza Crema (2009)","Cream Ale","Anderson Valley Brewing Company","Boonville"," CA","Ale"
"114",5.7,13,"Barney Flats Oatmeal Stout (2012)","Oatmeal Stout","Anderson Valley Brewing Company","Boonville"," CA","Ale"
"115",6.9,6,"Winter Solstice","Winter Warmer","Anderson Valley Brewing Company","Boonville"," CA","Ale"
"116",7,80,"Hop Ottin' IPA (2011)","American IPA","Anderson Valley Brewing Company","Boonville"," CA","Ale"
"117",5.8,15,"Boont Amber Ale (2011)","American Amber / Red Ale","Anderson Valley Brewing Company","Boonville"," CA","Ale"
"118",5.6,4,"Summer Solstice (2011)","Cream Ale","Anderson Valley Brewing Company","Boonville"," CA","Ale"
"119",5.5,28,"Poleeko Gold Pale Ale (2009)","American Pale Ale (APA)","Anderson Valley Brewing Company","Boonville"," CA","Ale"
"120",6,55,"Charlie's Rye IPA","American IPA","Angry Minnow","Hayward"," WI","Ale"
"121",5.4,36,"River Pig Pale Ale","American Pale Ale (APA)","Angry Minnow Brewing Company","Hayward"," WI","Ale"
"122",4.7,15,"Oaky's Oatmeal Stout","Oatmeal Stout","Angry Minnow Brewing Company","Hayward"," WI","Ale"
"123",5,6,"Angry Orchard Apple Ginger","Cider","Angry Orchard Cider Company","Cincinnati"," OH","Other"
"124",5,6,"Angry Orchard Crisp Apple","Cider","Angry Orchard Cider Company","Cincinnati"," OH","Other"
"125",5,6,"Angry Orchard Crisp Apple","Cider","Angry Orchard Cider Company","Cincinnati"," OH","Other"
"126",6.8,25,"Golden One","Belgian Pale Ale","Anthem Brewing Company","Oklahoma City"," OK","Traditional Germanic"
"127",6,13,"Arjuna","Witbier","Anthem Brewing Company","Oklahoma City"," OK","Traditional Germanic"
"128",8.5,47,"Uroboros","American Stout","Anthem Brewing Company","Oklahoma City"," OK","Ale"
"129",7.1,75,"Long Leaf","American IPA","Appalachian Mountain Brewery","Boone"," NC","Ale"
"130",4.7,19,"Honey Badger Blonde","American Blonde Ale","Appalachian Mountain Brewery","Boone"," NC","Ale"
"131",6,23,"Porter (a/k/a Black Gold Porter)","American Porter","Appalachian Mountain Brewery","Boone"," NC","Ale"
