"ABV","IBU","Name","Style","Brewery","City","State","Category"
"485",6.8,70,"MCA","American IPA","Burn 'Em Brewing","Michigan City"," IN","Ale"
"486",5.5,40,"Pale Alement","American Pale Ale (APA)","Burn 'Em Brewing","Michigan City"," IN","Ale"
"487",5,14,"Couch Select Lager","American Pale Lager","Burnside Brewing Co.","Portland"," OR","Lager"
"488",5.6,36,"Mucho Aloha Hawaiian Pale Ale","American Pale Ale (APA)","Butcher's Brewing","Carlsbad"," CA","Ale"
"489",4.9,5,"Heinnieweisse Weissebier","Hefeweizen","Butternuts Beer and Ale","Garrattsville"," NY","Traditional Germanic"
"490",6.8,61,"Snapperhead IPA","American IPA","Butternuts Beer and Ale","Garrattsville"," NY","Ale"
"491",4.9,11,"Moo Thunder Stout","Milk / Sweet Stout","Butternuts Beer and Ale","Garrattsville"," NY","Ale"
"492",4.3,28,"Porkslap Pale Ale","American Pale Ale (APA)","Butternuts Beer and Ale","Garrattsville"," NY","Ale"
"493",9.3,53,"Blackbeard","American Double / Imperial Stout","COAST Brewing Company","Charleston"," SC","Ale"
"494",6.2,23,"Rye Knot","American Brown Ale","COAST Brewing Company","Charleston"," SC","Ale"
"495",6,40,"Dead Arm","American Pale Ale (APA)","COAST Brewing Company","Charleston"," SC","Ale"
"496",4.8,15,"32°/50° Kölsch ","Kölsch","COAST Brewing Company","Charleston"," SC","Traditional Germanic"
"497",7.7,68,"HopArt","American IPA","COAST Brewing Company","Charleston"," SC","Ale"
"498",9.7,89,"Boy King","American Double / Imperial IPA","COAST Brewing Company","Charleston"," SC","Ale"
"499",5.2,28,"Gran Sport","American Porter","COOP Ale Works","Oklahoma City"," OK","Ale"
"500",5.3,25,"Horny Toad Cerveza","American Blonde Ale","COOP Ale Works","Oklahoma City"," OK","Ale"
"501",6.3,35,"Native Amber","American Amber / Red Ale","COOP Ale Works","Oklahoma City"," OK","Ale"
"502",6.8,100,"F5 IPA","American IPA","COOP Ale Works","Oklahoma City"," OK","Ale"
"503",6.3,35,"Native Amber (2013)","American Amber / Red Ale","COOP Ale Works","Oklahoma City"," OK","Ale"
"504",5.3,25,"Horny Toad Cerveza (2013)","American Blonde Ale","COOP Ale Works","Oklahoma City"," OK","Ale"
"505",6.8,100,"Hopportunity Knocks IPA","American IPA","Caldera Brewing Company","Ashland"," OR","Ale"
"506",6,41,"Pilot Rock Porter","American Porter","Caldera Brewing Company","Ashland"," OR","Ale"
"507",5.6,55,"Caldera Pale Ale","American Pale Ale (APA)","Caldera Brewing Company","Ashland"," OR","Ale"
"508",3.9,16,"Lawnmower Lager","American Adjunct Lager","Caldera Brewing Company","Ashland"," OR","Lager"
"509",5.4,24,"Ashland Amber Ale (2009)","American Amber / Red Ale","Caldera Brewing Company","Ashland"," OR","Ale"
"510",6.1,94,"Caldera IPA (2009)","American IPA","Caldera Brewing Company","Ashland"," OR","Ale"
"511",6.1,94,"Caldera IPA (2007)","American IPA","Caldera Brewing Company","Ashland"," OR","Ale"
"512",5.6,55,"Caldera Pale Ale (2010)","American Pale Ale (APA)","Caldera Brewing Company","Ashland"," OR","Ale"
"513",5.6,55,"Caldera Pale Ale (2009)","American Pale Ale (APA)","Caldera Brewing Company","Ashland"," OR","Ale"
"514",5.6,55,"Caldera Pale Ale (2005)","American Pale Ale (APA)","Caldera Brewing Company","Ashland"," OR","Ale"
"515",5.6,55,"Caldera Pale Ale (2007)","American Pale Ale (APA)","Caldera Brewing Company","Ashland"," OR","Ale"
"516",5.6,55,"Caldera Pale Ale (2011)","American Pale Ale (APA)","Caldera Brewing Company","Ashland"," OR","Ale"
"517",5.4,24,"Ashland Amber Ale","American Amber / Red Ale","Caldera Brewing Company","Ashland"," OR","Ale"
"518",6.1,94,"Caldera IPA","American IPA","Caldera Brewing Company","Ashland"," OR","Ale"
"519",5,13,"Remain in Light","American Pilsner","Cambridge Brewing Company","Cambridge"," MA","Lager"
"520",6.5,59,"Flower Child (2014)","American IPA","Cambridge Brewing Company","Cambridge"," MA","Ale"
"521",NA,NA,"THP White (2006)","Witbier","Cans Bar and Canteen","Charlotte"," NC","Traditional Germanic"
"522",NA,NA,"THP Amber (2006)","American Amber / Red Ale","Cans Bar and Canteen","Charlotte"," NC","Ale"
"523",NA,NA,"THP Light (2006)","American Blonde Ale","Cans Bar and Canteen","Charlotte"," NC","Ale"
"524",NA,NA,"THP Dark (2006)","English Dark Mild Ale","Cans Bar and Canteen","Charlotte"," NC","Ale"
"525",9.9,43,"Imperial Pumpkin Stout","Pumpkin Ale","Cape Ann Brewing Company","Gloucester"," MA","Ale"
"526",9,130,"Dead-Eye DIPA","American Double / Imperial IPA","Cape Ann Brewing Company","Gloucester"," MA","Ale"
"527",5.5,64,"Fisherman's IPA","American IPA","Cape Ann Brewing Company","Gloucester"," MA","Ale"
"528",5.4,35,"Fisherman's Pils","German Pilsener","Cape Ann Brewing Company","Gloucester"," MA","Lager"
"529",5.5,30,"Fisherman's Brew","American Amber / Red Ale","Cape Ann Brewing Company","Gloucester"," MA","Ale"
"530",5.5,35,"Cape Cod Red","American Amber / Red Ale","Cape Cod Beer","Hyannis"," MA","Ale"
"531",4.9,10,"Beach Blonde","American Blonde Ale","Cape Cod Beer","Hyannis"," MA","Ale"
"532",6.5,80,"Dark Voyage Black IPA (2013)","American Black Ale","Capital Brewery","Middleton"," WI","Ale"
"533",5.2,28,"Wisconsin Amber","Vienna Lager","Capital Brewery","Middleton"," WI","Lager"
"534",4.6,18,"Lake House","Munich Helles Lager","Capital Brewery","Middleton"," WI","Lager"
"535",5.6,55,"Ghost Ship White IPA","American IPA","Capital Brewery","Middleton"," WI","Ale"
"536",4.6,18,"Lake House","Munich Helles Lager","Capital Brewery","Middleton"," WI","Lager"
"537",6.2,70,"Mutiny IPA","American IPA","Capital Brewery","Middleton"," WI","Ale"
"538",5.2,35,"Wisconsin Amber (1998)","Vienna Lager","Capital Brewery","Middleton"," WI","Lager"
"539",4.2,18,"Island Wheat","American Pale Wheat Ale","Capital Brewery","Middleton"," WI","Ale"
"540",5.2,35,"Wisconsin Amber (2013)","Vienna Lager","Capital Brewery","Middleton"," WI","Lager"
"541",5,45,"U.S. Pale Ale","American Pale Ale (APA)","Capital Brewery","Middleton"," WI","Ale"
"542",NA,NA,"Supper Club Lager","American Pale Lager","Capital Brewery","Middleton"," WI","Lager"
"543",4,4,"Carolina Lighthouse (2007)","American Blonde Ale","Carolina Beer & Beverage","Mooresville"," NC","Ale"
"544",5,11,"Carolina Blonde (2006)","American Blonde Ale","Carolina Beer & Beverage","Mooresville"," NC","Ale"
"545",3.5,26,"Carolina Blonde Light (2005)","American Blonde Ale","Carolina Beer & Beverage","Mooresville"," NC","Ale"
"546",5.9,22,"Santa's Secret","Winter Warmer","Carolina Brewery","Pittsboro"," NC","Ale"
"547",5.7,68,"Flagship IPA","English India Pale Ale (IPA)","Carolina Brewery","Pittsboro"," NC","Ale"
"548",5.1,33,"Sky Blue Golden Ale","Kölsch","Carolina Brewery","Pittsboro"," NC","Traditional Germanic"
"549",9.9,100,"Epitome","American Black Ale","Carton Brewing Company","Atlantic Highlands"," NJ","Ale"
"550",3.9,9,"Monkey Chased the Weasel","Berliner Weissbier","Carton Brewing Company","Atlantic Highlands"," NJ","Traditional Germanic"
"551",7.8,80,"077XX","American Double / Imperial IPA","Carton Brewing Company","Atlantic Highlands"," NJ","Ale"
"552",4.2,35,"Boat Beer","American IPA","Carton Brewing Company","Atlantic Highlands"," NJ","Ale"
"553",6.9,20,"Granny Smith Hard Apple Cider","Cider","Cascadia Ciderworks United","Portland"," OR","Other"
"554",6.9,20,"Dry Hard Apple Cider","Cider","Cascadia Ciderworks United","Portland"," OR","Other"
"555",5.6,12,"Farmer Ted's Cream Ale","Cream Ale","Catawba Brewing Company","Morganton"," NC","Ale"
"556",5.2,50,"Firewater India Pale Ale","American IPA","Catawba Brewing Company","Morganton"," NC","Ale"
"557",4.7,4,"White Zombie Ale","Witbier","Catawba Brewing Company","Morganton"," NC","Traditional Germanic"
"558",7,14,"King Winterbolt Winter Ale","Winter Warmer","Catawba Brewing Company","Morganton"," NC","Ale"
"559",4.7,4,"White Zombie Ale","Witbier","Catawba Brewing Company","Morganton"," NC","Traditional Germanic"
"560",5.2,50,"Firewater India Pale Ale","American IPA","Catawba Brewing Company","Morganton"," NC","Ale"
"561",5.6,12,"Farmer Ted's Farmhouse Cream Ale","Cream Ale","Catawba Brewing Company","Morganton"," NC","Ale"
"562",4.8,16,"Whitecap Wit","Witbier","Catawba Island Brewing","Port Clinton"," OH","Traditional Germanic"
"563",7.8,16,"Seiche Scottish Ale","Scottish Ale","Catawba Island Brewing","Port Clinton"," OH","Ale"
"564",5.8,21,"Peanut Butter Jelly Time","American Brown Ale","Catawba Valley Brewing Company","Morganton"," NC","Ale"
"565",5.4,16,"King Coconut","American Porter","Catawba Valley Brewing Company","Morganton"," NC","Ale"
"566",8.5,90,"Gone A-Rye","American Double / Imperial IPA","Cedar Creek Brewery","Seven Points"," TX","Ale"
"567",NA,NA,"Special Release","Other","Cedar Creek Brewery","Seven Points"," TX","Other"
"568",6.8,70,"Dankosaurus","American IPA","Cedar Creek Brewery","Seven Points"," TX","Ale"
"569",5.1,35,"Scruffy's Smoked Alt","Smoked Beer","Cedar Creek Brewery","Seven Points"," TX","Ale"
"570",5.1,36,"Elliott's Phoned Home Pale Ale","American Pale Ale (APA)","Cedar Creek Brewery","Seven Points"," TX","Ale"
"571",5,18,"The Lawn Ranger","Cream Ale","Cedar Creek Brewery","Seven Points"," TX","Ale"
"572",5,11,"All American Blonde Ale","American Blonde Ale","Centennial Beer Company","Edwards"," CO","Ale"
"573",5,22,"All American Red Ale","American Amber / Red Ale","Centennial Beer Company","Edwards"," CO","Ale"
"574",5,40,"Main St. Virginia Ale","Altbier","Center of the Universe Brewing C...","Ashland"," VA","Traditional Germanic"
"575",4.5,24,"Chin Music Amber Lager","American Amber / Red Lager","Center of the Universe Brewing C...","Ashland"," VA","Lager"
"576",5,40,"Main St. Virginia Ale","Altbier","Center of the Universe Brewing C...","Ashland"," VA","Traditional Germanic"
"577",5.2,42,"Ray Ray’s Pale Ale","American Pale Ale (APA)","Center of the Universe Brewing C...","Ashland"," VA","Ale"
"578",5.1,15,"Chai Ale","Herbed / Spiced Beer","Central Coast Brewing Company","San Luis Obispo"," CA","Other"
"579",7.2,85,"Lucky Day IPA","American IPA","Central Coast Brewing Company","San Luis Obispo"," CA","Ale"
"580",9.5,99,"Terrace Hill Double IPA","American Double / Imperial IPA","Central Coast Brewing Company","San Luis Obispo"," CA","Ale"
"581",7.5,77,"Catch 23","American Black Ale","Central Coast Brewing Company","San Luis Obispo"," CA","Ale"
"582",7,50,"Stickin' In My Rye","Rye Beer","Champion Brewing Company","Charlottesville"," VA","Ale"
"583",6,45,"Black Me Stout","American Stout","Champion Brewing Company","Charlottesville"," VA","Ale"
"584",5,22,"Killer Kolsch","Kölsch","Champion Brewing Company","Charlottesville"," VA","Traditional Germanic"
"585",7,65,"Missile IPA","American IPA","Champion Brewing Company","Charlottesville"," VA","Ale"
"586",4.5,6,"Enlighten","Kölsch","Chapman's Brewing","Angola"," IN","Traditional Germanic"
"587",6.5,8,"Ale Cider","Fruit / Vegetable Beer","Chapman's Brewing","Angola"," IN","Other"
"588",5.5,30,"Pail Ale","American Pale Ale (APA)","Chapman's Brewing","Angola"," IN","Ale"
"589",4.5,4,"Englishman","English Brown Ale","Chapman's Brewing","Angola"," IN","Ale"
"590",8,69,"8 Barrel","American Strong Ale","Chatham Brewing","Chatham"," NY","Ale"
"591",5.5,40,"Oktoberfest","Märzen / Oktoberfest","Chatham Brewing","Chatham"," NY","Traditional Germanic"
"592",5.7,58,"IPA #11","American IPA","Cheboygan Brewing Company","Cheboygan"," MI","Ale"
"593",5.7,10,"Blood Orange Honey","Fruit / Vegetable Beer","Cheboygan Brewing Company","Cheboygan"," MI","Other"
"594",5.2,27,"Lighthouse Amber","Altbier","Cheboygan Brewing Company","Cheboygan"," MI","Traditional Germanic"
"595",8.9,126,"Bay of Bengal Double IPA (2014)","American Double / Imperial IPA","Christian Moerlein Brewing Company","Cincinnati"," OH","Ale"
"596",4.9,29,"Churchkey Pilsner Style Beer","American Pilsner","Churchkey Can Company","Seattle"," WA","Lager"
"597",5,6,"First Press","Cider","Ciderboys","Stevens Point"," WI","Other"
"598",5,6,"Magic Apple","Cider","Ciderboys","Stevens Point"," WI","Other"
"599",5.5,25,"Cubano Espresso","Bock","Cigar City Brewing Company","Tampa"," FL","Ale"
"600",6.2,65,"Operation Homefront","American IPA","Cigar City Brewing Company","Tampa"," FL","Ale"
"601",8.2,65,"Wandering Pelican","American Black Ale","Cigar City Brewing Company","Tampa"," FL","Ale"
"602",5.5,25,"Sugar Plum","American Brown Ale","Cigar City Brewing Company","Tampa"," FL","Ale"
"603",5.5,21,"Oktoberfest","Märzen / Oktoberfest","Cigar City Brewing Company","Tampa"," FL","Traditional Germanic"
"604",6,27,"Puppy's Breath Porter","American Porter","Cigar City Brewing Company","Tampa"," FL","Ale"
"605",4.5,51,"Happening Now","American IPA","Cigar City Brewing Company","Tampa"," FL","Ale"
"606",7,60,"Hopped on the High Seas (Hop #529)","American IPA","Cigar City Brewing Company","Tampa"," FL","Ale"
"607",7,60,"Hopped on the High Seas (Calypso)","American IPA","Cigar City Brewing Company","Tampa"," FL","Ale"
"608",6.3,48,"Wiregrass Post-Prohibition Ale","American Pale Ale (APA)","Cigar City Brewing Company","Tampa"," FL","Ale"
"609",7,60,"Dry-Hopped On The High Seas Caribbean-Style IPA","American IPA","Cigar City Brewing Company","Tampa"," FL","Ale"
"610",7,60,"Hopped on the High Seas (Citra)","American IPA","Cigar City Brewing Company","Tampa"," FL","Ale"
"611",7,60,"Hopped on the High Seas (Ahtanum)","American IPA","Cigar City Brewing Company","Tampa"," FL","Ale"
"612",5.5,43,"Gwar Beer","American Pale Ale (APA)","Cigar City Brewing Company","Tampa"," FL","Ale"
"613",5.2,20,"Tropical Heatwave","American Pale Wheat Ale","Cigar City Brewing Company","Tampa"," FL","Ale"
"614",7.5,70,"Humidor Series India Pale Ale","American IPA","Cigar City Brewing Company","Tampa"," FL","Ale"
"615",7.5,70,"Jai Alai IPA Aged on White Oak","American IPA","Cigar City Brewing Company","Tampa"," FL","Ale"
"616",8,65,"José Martí American Porter","American Porter","Cigar City Brewing Company","Tampa"," FL","Ale"
"617",5,39,"Invasion Pale Ale","American Pale Ale (APA)","Cigar City Brewing Company","Tampa"," FL","Ale"
"618",5.5,25,"Maduro Brown Ale","English Brown Ale","Cigar City Brewing Company","Tampa"," FL","Ale"
"619",5.5,25,"Maduro Brown Ale","American Brown Ale","Cigar City Brewing Company","Tampa"," FL","Ale"
"620",5,13,"Hotter Than Helles Lager","Munich Helles Lager","Cigar City Brewing Company","Tampa"," FL","Lager"
"621",7.2,75,"Tocobaga Red Ale","American Amber / Red Ale","Cigar City Brewing Company","Tampa"," FL","Ale"
"622",7.5,70,"Jai Alai IPA","American IPA","Cigar City Brewing Company","Tampa"," FL","Ale"
"623",5,18,"Florida Cracker Belgian Wit","Witbier","Cigar City Brewing Company","Tampa"," FL","Traditional Germanic"
"624",4.8,17,"Shark Tracker Light lager","Light Lager","Cisco Brewers","Nantucket"," MA","Lager"
"625",6,16,"Pumple Drumkin","Pumpkin Ale","Cisco Brewers","Nantucket"," MA","Ale"
"626",4.5,2,"Grey Lady","Witbier","Cisco Brewers","Nantucket"," MA","Traditional Germanic"
"627",6.2,16,"Summer of Lager","Munich Helles Lager","Cisco Brewers","Nantucket"," MA","Lager"
"628",6.5,59,"Indie Pale Ale","American IPA","Cisco Brewers","Nantucket"," MA","Ale"
"629",3.8,9,"Sankaty Light Lager","Light Lager","Cisco Brewers","Nantucket"," MA","Lager"
"630",5.6,24,"Whale's Tale Pale Ale","English Pale Ale","Cisco Brewers","Nantucket"," MA","Ale"
"631",6.7,60,"Jacaranada Rye IPA","American IPA","Claremont Craft Ales","Claremont"," CA","Ale"
"632",6,75,"Cascadian Dark Ale","American Black Ale","Coalition Brewing Company","Portland"," OR","Ale"
"633",4.4,13,"Wheat the People","American Pale Wheat Ale","Coalition Brewing Company","Portland"," OR","Ale"
"634",4.7,17,"Tybee Island Blonde","American Blonde Ale","Coastal Empire Beer Company","Savannah"," GA","Ale"
"635",6.2,55,"Savannah Brown Ale","American Brown Ale","Coastal Empire Beer Company","Savannah"," GA","Ale"
"636",4.6,11,"Rhode Island Blueberry","Kölsch","Coastal Extreme Brewing Company","Newport"," RI","Traditional Germanic"
"637",6.5,75,"Newport Storm IPA","American IPA","Coastal Extreme Brewing Company","Newport"," RI","Ale"
"638",5.2,24,"Hurricane Amber Ale (2004)","American Amber / Red Ale","Coastal Extreme Brewing Company","Newport"," RI","Ale"
"639",5.2,24,"Hurricane Amber Ale","American Amber / Red Ale","Coastal Extreme Brewing Company","Newport"," RI","Ale"
"640",5.8,11,"Big Blue Van","Fruit / Vegetable Beer","College Street Brewhouse and Pub","Lake Havasu City"," AZ","Other"
"641",6.8,75,"Des Moines IPA","American IPA","Confluence Brewing Company","Des Moines"," IA","Ale"
"642",4.8,22,"Capital Gold Golden Lager","German Pilsener","Confluence Brewing Company","Des Moines"," IA","Lager"
"643",5.6,21,"Farmer John's Multi-Grain Ale","American Blonde Ale","Confluence Brewing Company","Des Moines"," IA","Ale"
"644",5,13,"Behemoth","American Pilsner","Core Brewing & Distilling Company","Springdale"," AR","Lager"
"645",5.2,24,"Arkansas Red","American Amber / Red Ale","Core Brewing & Distilling Company","Springdale"," AR","Ale"
"646",5.7,22,"Core Oatmeal Stout","Oatmeal Stout","Core Brewing & Distilling Company","Springdale"," AR","Ale"
"647",6.1,40,"Core ESB","Extra Special / Strong Bitter (ESB)","Core Brewing & Distilling Company","Springdale"," AR","Ale"
"648",3.8,18,"Chester's Beer (2005)","American Pale Lager","Cottrell Brewing","Pawcatuck"," CT","Lager"
"649",5,17,"Heiner Brau Kölsch","Kölsch","Covington Brewhouse","Covington"," LA","Traditional Germanic"
"650",4.8,11,"Trigger Blonde Ale","American Blonde Ale","Crabtree Brewing Company","Greeley"," CO","Ale"
"651",7.5,29,"Crabtree Oatmeal Stout","Oatmeal Stout","Crabtree Brewing Company","Greeley"," CO","Ale"
"652",7.7,71,"Eclipse Black IPA","American Black Ale","Crabtree Brewing Company","Greeley"," CO","Ale"
"653",6,46,"Neomexicanus Native","American Pale Ale (APA)","Crazy Mountain Brewing Company","Edwards"," CO","Ale"
"654",7.5,25,"Old Soul","Belgian Strong Pale Ale","Crazy Mountain Brewing Company","Edwards"," CO","Traditional Germanic"
"655",5.9,34,"Snowcat Coffee Stout","American Stout","Crazy Mountain Brewing Company","Edwards"," CO","Ale"
"656",NA,NA,"WinterWonderGrass Festival Ale","American Amber / Red Ale","Crazy Mountain Brewing Company","Edwards"," CO","Ale"
"657",NA,NA,"Boohai Red Ale","American Amber / Red Ale","Crazy Mountain Brewing Company","Edwards"," CO","Ale"
"658",5.2,15,"Lava Lake Wit","Witbier","Crazy Mountain Brewing Company","Edwards"," CO","Traditional Germanic"
"659",6,46,"Mountain Livin' Pale Ale","American Pale Ale (APA)","Crazy Mountain Brewing Company","Edwards"," CO","Ale"
"660",5.2,25,"Crazy Mountain Amber Ale","American Amber / Red Ale","Crazy Mountain Brewing Company","Edwards"," CO","Ale"
"661",6.5,65,"Tropicalia","American IPA","Creature Comforts","Athens"," GA","Ale"
"662",4.5,9,"Athena","Berliner Weissbier","Creature Comforts","Athens"," GA","Traditional Germanic"
"663",4.9,25,"Aviator Raspberry Blonde","American Blonde Ale","Crooked Fence Brewing Company","Garden City"," ID","Ale"
"664",5.5,31,"3 Picket Porter","American Porter","Crooked Fence Brewing Company","Garden City"," ID","Ale"
"665",5.6,51,"Rusty Nail Pale Ale","American Pale Ale (APA)","Crooked Fence Brewing Company","Garden City"," ID","Ale"
"666",6.5,33,"Red Water Irish Style Red","American Amber / Red Ale","Crow Peak Brewing Company","Spearfish"," SD","Ale"
"667",6.6,19,"Mjöllnir","Herbed / Spiced Beer","Crow Peak Brewing Company","Spearfish"," SD","Other"
"668",5.5,18,"Bear Butte Nut Brown Ale","American Brown Ale","Crow Peak Brewing Company","Spearfish"," SD","Ale"
"669",4.5,7,"Easy Livin' Summer Ale","American Blonde Ale","Crow Peak Brewing Company","Spearfish"," SD","Ale"
"670",5.5,12,"Canyon Cream Ale","Cream Ale","Crow Peak Brewing Company","Spearfish"," SD","Ale"
"671",6.9,27,"Pile O'Dirt Porter","American Porter","Crow Peak Brewing Company","Spearfish"," SD","Ale"
"672",6,55,"11th Hour IPA","American IPA","Crow Peak Brewing Company","Spearfish"," SD","Ale"
"673",6,31,"South Ridge Amber Ale","American Amber / Red Ale","Crystal Springs Brewing Company","Boulder"," CO","Ale"
"674",5.2,23,"Summertime Ale","Kölsch","Crystal Springs Brewing Company","Boulder"," CO","Traditional Germanic"
"675",4.9,10,"Lost River Blonde Ale","American Blonde Ale","Cutters Brewing Company","Avon"," IN","Ale"
"676",5.4,9,"Monon Wheat","Witbier","Cutters Brewing Company","Avon"," IN","Traditional Germanic"
"677",8,24,"Floyd's Folly","Scottish Ale","Cutters Brewing Company","Avon"," IN","Ale"
"678",6.3,58,"Half Court IPA","American IPA","Cutters Brewing Company","Avon"," IN","Ale"
"679",4.5,16,"Geary's Pale Ale","English Pale Ale","D.L. Geary Brewing Company","Portland"," ME","Ale"
"680",6,24,"Geary's Summer Ale","Kölsch","D.L. Geary Brewing Company","Portland"," ME","Traditional Germanic"
"681",8,32,"Stone of Arbroath","Scotch Ale / Wee Heavy","DC Brau Brewing Company","Washington"," DC","Ale"
"682",5,15,"The Tradition","American Blonde Ale","DC Brau Brewing Company","Washington"," DC","Ale"
"683",5.3,11,"El Hefe Speaks","Hefeweizen","DC Brau Brewing Company","Washington"," DC","Traditional Germanic"
"684",5.5,31,"Penn Quarter Porter","American Porter","DC Brau Brewing Company","Washington"," DC","Ale"
"685",9.2,115,"On the Wings of Armageddon","American Double / Imperial IPA","DC Brau Brewing Company","Washington"," DC","Ale"
"686",6.5,80,"The Corruption","American IPA","DC Brau Brewing Company","Washington"," DC","Ale"
"687",7,40,"The Citizen","Belgian Pale Ale","DC Brau Brewing Company","Washington"," DC","Traditional Germanic"
"688",6,54,"The Public","American Pale Ale (APA)","DC Brau Brewing Company","Washington"," DC","Ale"
"689",6.5,59,"Dank IPA","American IPA","Dad & Dude's Breweria","Aurora"," CO","Ale"
"690",6.5,59,"Dank IPA (2012)","American IPA","Dad & Dude's Breweria","Aurora"," CO","Ale"
"691",7.2,64,"Lift Off IPA","American IPA","Daredevil Brewing Company","Shelbyville"," IN","Ale"
"692",5.5,30,"BrewFarm Select Golden Lager","American Pale Lager","Dave's Brewfarm","Wilson"," WI","Lager"
"693",5,11,"Sprocket Blonde Ale (2006)","American Blonde Ale","David's Ale Works","Diamond Springs"," CA","Ale"
"694",5,33,"Sprocket Pale Ale (2006)","American Pale Ale (APA)","David's Ale Works","Diamond Springs"," CA","Ale"
"695",6.3,37,"Dead Armadillo Amber Ale","American Amber / Red Ale","Dead Armadillo Craft Brewing","Tulsa"," OK","Ale"
"696",6,30,"Neato Bandito","Euro Pale Lager","Deep Ellum Brewing Company","Dallas"," TX","Lager"
"697",7.5,33,"Oak Cliff Coffee Ale","American Brown Ale","Deep Ellum Brewing Company","Dallas"," TX","Ale"
"698",8.5,100,"Dream Crusher Double IPA","American Double / Imperial IPA","Deep Ellum Brewing Company","Dallas"," TX","Ale"
"699",6,50,"Deep Ellum Pale Ale","American Pale Ale (APA)","Deep Ellum Brewing Company","Dallas"," TX","Ale"
"700",7,33,"Double Brown Stout","Baltic Porter","Deep Ellum Brewing Company","Dallas"," TX","Ale"
"701",4.8,25,"Farmhouse Wit","Saison / Farmhouse Ale","Deep Ellum Brewing Company","Dallas"," TX","Other"
"702",4.6,29,"Rye Pils Session Lager","German Pilsener","Deep Ellum Brewing Company","Dallas"," TX","Lager"
"703",5.2,23,"Dallas Blonde","American Blonde Ale","Deep Ellum Brewing Company","Dallas"," TX","Ale"
"704",7,70,"Deep Ellum IPA","American IPA","Deep Ellum Brewing Company","Dallas"," TX","Ale"
"705",4.5,44,"Thrasher Session India Pale Ale","American IPA","Defiance Brewing Company","Hays"," KS","Ale"
"706",5,16,"Gutch English Style Mild Ale","English Pale Mild Ale","Defiance Brewing Company","Hays"," KS","Ale"
"707",5.9,55,"Chuli Stout","Irish Dry Stout","Denali Brewing Company","Talkeetna"," AK","Ale"
"708",5.6,46,"Mother Ale","American Blonde Ale","Denali Brewing Company","Talkeetna"," AK","Ale"
"709",6.5,71,"Twister Creek India Pale Ale","American IPA","Denali Brewing Company","Talkeetna"," AK","Ale"
"710",5.8,46,"Single Engine Red","Irish Red Ale","Denali Brewing Company","Talkeetna"," AK","Ale"
"711",7,63,"Incredible Pedal IPA","American IPA","Denver Beer Company","Denver"," CO","Ale"
"712",5,14,"Graham Cracker Porter","American Porter","Denver Beer Company","Denver"," CO","Ale"
"713",5,40,"Mirror Pond Pale Ale","American Pale Ale (APA)","Deschutes Brewery","Bend"," OR","Ale"
"714",5.2,16,"Weissenheimer","Hefeweizen","Destihl Brewery","Bloomington"," IL","Traditional Germanic"
"715",4.9,22,"Abbey's Single (2015- )","Abbey Single Ale","Destihl Brewery","Bloomington"," IL","Ale"
"716",6.3,76,"Vertex IPA","American IPA","Destihl Brewery","Bloomington"," IL","Ale"
"717",5,12,"Here Gose Nothin'","Gose","Destihl Brewery","Bloomington"," IL","Traditional Germanic"
"718",5,13,"Strawberry Blonde","Fruit / Vegetable Beer","Destihl Brewery","Bloomington"," IL","Other"
"719",9.6,85,"Hoperation Overload","American Double / Imperial IPA","Destihl Brewery","Bloomington"," IL","Ale"
"720",4.9,22,"Abbey's Single Ale (Current)","Abbey Single Ale","Destihl Brewery","Bloomington"," IL","Ale"
"721",4.4,45,"Bravo Four Point","American Pale Ale (APA)","Devil's Backbone Brewing Company","Lexington"," VA","Ale"
"722",5.2,26,"Striped Bass Pale Ale","American Pale Ale (APA)","Devil's Backbone Brewing Company","Lexington"," VA","Ale"
"723",5.4,27,"Deadicated Amber","American Amber / Red Ale","Devil's Canyon Brewery","Belmont"," CA","Ale"
"724",NA,NA,"Kaleidoscope Collaboration 2012","American Black Ale","Devil's Canyon Brewery","Belmont"," CA","Ale"
"725",7.1,85,"California Sunshine Rye IPA","American IPA","Devil's Canyon Brewery","Belmont"," CA","Ale"
"726",7.4,12,"Full Boar Scotch Ale","Scotch Ale / Wee Heavy","Devil's Canyon Brewery","Belmont"," CA","Ale"
"727",4.5,29,"12 Man Pale Ale","American Pale Ale (APA)","Dick's Brewing Company","Centralia"," WA","Ale"
"728",6.5,72,"Filthy Hoppin' IPA","American IPA","Dirty Bucket Brewing Company","Woodinville"," WA","Ale"
"729",NA,NA,"Dock Street Amber Beer (1992)","American Amber / Red Ale","Dock Street Brewery","Philadelphia"," PA","Ale"
"730",NA,NA,"Dolores River Hefeweizen","Hefeweizen","Dolores River Brewery","Dolores"," CO","Traditional Germanic"
"731",NA,NA,"Dolores River ESB","Extra Special / Strong Bitter (ESB)","Dolores River Brewery","Dolores"," CO","Ale"
"732",NA,NA,"Snaggletooth Double Pale Ale","American Double / Imperial IPA","Dolores River Brewery","Dolores"," CO","Ale"
"733",NA,NA,"Dolores River Pale Ale","American Pale Ale (APA)","Dolores River Brewery","Dolores"," CO","Ale"
"734",NA,NA,"Dolores River Dry Stout","Irish Dry Stout","Dolores River Brewery","Dolores"," CO","Ale"
"735",NA,NA,"Dolores River Mild","English Dark Mild Ale","Dolores River Brewery","Dolores"," CO","Ale"
